agemurder,gunrate,borderchainav,poverty,educ,divorce
17.79,48.9,41,19.2,23.5,4.3
19.59,61.7,61.7,11.4,28,4.8
14.2,32.3,33.7,18.2,27.5,3.9
16.93,57.9,43.96666667,18.7,21.1,5.3
7.89,20.1,34.9,16.4,31.4,4.3
11.75,34.3,41.87142857,12.1,38.1,4.4
4.48,16.6,14.46666667,10.8,37.6,3.1
10.8,5.2,22.76666667,13,30,3.6
12.49,32.5,46,16.6,27.3,4.5
12.63,31.6,40.74,18.4,28.8,2.5
2.71,45.1,45.1,11.5,30.8,3.7
14.08,56.6,44.66666667,14.8,25.9,4.9
8.67,26.2,42.36666667,14.3,32.3,2.6
13.04,33.8,34.675,15.2,24.1,4
8.19,33.8,40.53333333,12.3,26.7,2.4
11.44,32.2,39.475,13.5,31,3.9
14.15,42.4,38.25714286,19,22.3,4.4
19.15,44.5,48.83333333,19.9,22.5,5
11.89,22.6,30,14,29,4.2
9.75,20.7,37.675,10.4,37.9,2.9
3.18,22.6,23.9,11.7,40.5,2.7
12.03,28.8,35.56,16.2,26.9,3.4
7.88,36.7,46.6,11.4,33.7,3.1
17.55,42.8,48.75,21.9,20.7,4
14.56,27.1,41.7,15.5,27.1,3.9
16.94,52.3,55.575,15.2,29.5,4
8.99,19.8,46.28333333,12.3,29.3,3.5
14.16,37.5,38.28,15.4,23,5.6
7.03,14.4,31.7,9.2,34.9,2.9
5.69,11.3,26.06666667,11.1,36.8,2.9
15.63,49.9,37.7,20.6,26.3,3.3
4.39,10.3,21.85,15.9,34.2,2.9
12.42,28.7,40.4,17.2,28.4,3.7
11.89,47.9,52,11.1,27.7,2.7
11.14,19.6,43.06,15.8,26.1,3.4
16.41,31.2,40.75,16.6,24.1,5.2
11.76,26.6,35.875,16.4,30.8,3.8
11.36,27.1,27.48333333,13.6,28.6,2.8
5.33,5.8,15.76666667,14.8,31.9,3.2
15.6,44.4,40.8,17.9,25.8,3.2
9.47,35,48.55,14.1,27,3.3
15.86,39.4,46.05,18.2,24.9,4.3
10.5,35.7,44.275,17.2,27.6,3.2
11.69,31.9,41.56666667,11.8,31.1,3.7
10.37,28.8,20.2,12.2,36,3.6
10.46,29.3,41.92,11.8,36.3,3.8
9.07,27.7,47.55,13.2,32.9,4.1
15.1,54.2,34.24,18.3,19.2,5.2
9.93,34.7,35.8,13.2,27.8,2.9
17.51,53.8,49.64,10.6,25.7,4.8
